timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1752856200,Jul 18 2025 - 4:30pm,complete,N/A,HB Køge,Hobro,N/A,1,0.00,0.00,1.60,1.53,2,0,2,1,1,0,"27,58","",3,5,2,0,0,0,2,0,0,0,14,12,5,4,9,8,11,7,40,60,0.00,0.00,1.57,1.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.59,3.40,2.60,1.25,1.75,2.90,5.50,1.58,2.20,N/A
1752858000,Jul 18 2025 - 5:00pm,complete,N/A,Hvidovre,B 93,N/A,1,0.00,0.00,1.40,1.27,1,1,2,2,1,1,"31","27",4,6,2,0,2,0,1,1,1,1,12,11,5,6,7,5,10,13,47,53,0.00,0.00,1.35,1.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.73,3.60,4.40,1.15,1.80,2.71,3.75,1.73,2.05,Kæmpernes Arena
1752926400,Jul 19 2025 - 12:00pm,complete,N/A,Kolding IF,AaB,N/A,1,0.00,0.00,1.57,1.21,1,0,1,0,0,0,"55","",4,9,3,1,0,0,1,3,0,0,11,18,2,5,9,13,15,8,35,65,0.00,0.00,1.14,1.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.23,3.55,2.90,1.24,1.70,2.90,5.50,1.55,2.20,Autocentralen Park
1752926400,Jul 19 2025 - 12:00pm,complete,N/A,Hillerød,Middelfart,N/A,1,0.00,0.00,1.79,0.53,2,1,3,2,1,1,"22,67","12",4,0,1,0,2,0,0,1,2,0,12,4,5,1,7,3,12,11,61,39,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.50,6.25,1.16,1.62,2.63,4.50,1.85,1.85,Hillerød Stadion
1752933600,Jul 19 2025 - 2:00pm,complete,N/A,Horsens,Aarhus Fremad,N/A,1,0.00,0.00,1.71,1.13,0,0,0,0,0,0,"","",1,5,4,1,1,0,1,4,1,0,15,8,4,4,11,4,11,12,48,52,0.00,0.00,1.55,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.47,4.40,4.70,1.17,1.53,2.24,4.00,1.60,2.23,CASA Arena Horsens
1753016400,Jul 20 2025 - 1:00pm,complete,N/A,Esbjerg,Lyngby,N/A,1,0.00,0.00,1.87,1.93,0,2,2,1,0,1,"","29,88",5,1,0,0,0,0,0,0,0,0,13,11,6,3,7,8,9,16,50,50,0.00,0.00,1.44,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.45,3.50,1.97,1.14,1.50,2.25,3.90,1.57,2.45,Blue Water Arena
1753461000,Jul 25 2025 - 4:30pm,complete,N/A,HB Køge,Aarhus Fremad,N/A,2,3.00,1.00,1.60,1.13,2,1,3,1,1,0,"4,90'5","61",1,10,3,1,2,0,1,3,0,2,6,27,2,7,4,20,9,9,33,67,1.57,1.08,0.75,2.67,1.00,0,50,0,0,0,0,50,0,50,8.00,3.00,2.35,3.64,2.74,1.24,1.75,2.88,5.15,1.65,2.25,N/A
1753462800,Jul 25 2025 - 5:00pm,complete,N/A,Horsens,Kolding IF,N/A,2,1.00,0.00,1.71,0.87,2,1,3,1,0,1,"48,53","34",3,7,2,0,1,0,1,1,0,1,8,14,2,4,6,10,12,11,46,54,1.55,0.00,0.90,1.52,0.00,0,0,0,0,0,0,0,0,0,1.00,5.00,2.32,3.29,3.11,1.30,2.02,3.38,6.40,1.75,1.95,CASA Arena Horsens
1753462800,Jul 25 2025 - 5:00pm,complete,N/A,Lyngby,B 93,N/A,2,0.00,1.00,2.00,1.27,1,1,2,1,0,1,"71","32",6,3,2,0,2,0,1,1,0,2,10,10,3,3,7,7,12,8,46,54,0.00,1.38,1.34,1.15,1.00,50,50,0,0,0,50,50,0,0,6.00,2.00,1.44,4.50,5.80,1.21,1.66,2.60,4.55,1.75,2.00,Lyngby Stadion
1753531200,Jul 26 2025 - 12:00pm,complete,2970,Esbjerg,Hvidovre,N/A,2,0.00,0.00,1.87,1.71,2,1,3,2,1,1,"10,58","8",3,2,2,0,0,0,1,1,0,0,16,11,7,1,9,10,16,10,46,54,1.44,0.00,1.81,1.05,1.00,0,50,0,0,0,0,50,0,50,5.00,0.00,2.20,3.60,2.80,1.22,1.58,2.62,4.70,1.57,2.36,Blue Water Arena
