timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1754674200,Aug 08 2025 - 5:30pm,complete,225,Orléans,Dijon,N/A,1,0.00,0.00,1.63,2.06,1,2,3,0,0,0,"49","78,86",4,7,1,0,2,0,0,1,1,1,12,15,6,5,6,10,14,10,43,57,0.00,0.00,1.53,1.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.00,2.90,1.29,2.08,3.71,6.40,1.75,1.95,Stade de la Source
1754674200,Aug 08 2025 - 5:30pm,complete,237,Châteauroux,Valenciennes,N/A,1,0.00,0.00,0.81,0.94,0,0,0,0,0,0,"","",4,13,1,0,2,0,0,1,0,2,15,9,3,3,12,6,12,14,57,43,0.00,0.00,1.41,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,3.16,2.25,1.32,2.09,3.40,6.60,1.75,1.93,Stade Gaston Petit
1754674200,Aug 08 2025 - 5:30pm,complete,1940,Le Puy F.43 Auvergne,Sochaux,N/A,1,0.00,0.00,1.38,1.56,0,1,1,0,0,0,"","89",6,4,1,0,2,0,0,1,0,2,12,9,2,3,10,6,9,20,48,52,0.00,0.00,1.25,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,3.00,2.90,1.39,2.28,4.25,8.50,1.97,1.70,Stade Charles Massot
1754674200,Aug 08 2025 - 5:30pm,complete,144,Caen,Aubagne,N/A,1,0.00,0.00,1.44,1.31,3,0,3,1,1,0,"51,38,55","",6,2,2,0,3,0,2,0,2,1,16,6,6,3,10,3,17,6,62,38,0.00,0.00,1.77,0.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.10,4.40,1.40,2.15,3.92,7.75,2.10,1.75,Stade Michel d'Ornano
1754674200,Aug 08 2025 - 5:30pm,complete,1548,Stade Briochin,Versailles,N/A,1,0.00,0.00,0.81,1.56,0,1,1,1,0,1,"","4",6,8,1,1,2,0,1,1,0,2,13,11,4,4,9,7,17,23,46,54,0.00,0.00,1.58,1.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.37,2.90,2.87,1.36,2.46,4.40,8.30,1.85,1.80,Stade Fred Aubert
1754674200,Aug 08 2025 - 5:30pm,complete,4806,Rouen,Fleury 91,N/A,1,0.00,0.00,1.81,1.63,0,0,0,0,0,0,"","",10,2,2,1,1,0,1,2,0,1,11,9,3,1,8,8,18,14,49,51,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.19,3.08,3.10,1.48,2.30,4.45,9.00,1.98,1.73,Stade Robert Diochon
1754674200,Aug 08 2025 - 5:30pm,complete,1846,Villefranche,Concarneau,N/A,1,0.00,0.00,1.63,1.19,0,0,0,0,0,0,"","",3,2,3,0,2,0,2,1,2,0,6,7,0,4,6,3,11,18,49,51,0.00,0.00,0.56,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,3.00,2.63,1.39,2.15,4.15,7.50,1.93,1.80,Stade Armand Chouffet
1754674200,Aug 08 2025 - 5:30pm,complete,720,Paris 13 Atletico,Quevilly Rouen,N/A,1,0.00,0.00,1.31,1.00,1,0,1,1,1,0,"14","",5,6,1,0,3,0,0,1,1,2,13,8,8,3,5,5,13,11,47,53,0.00,0.00,1.86,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.03,3.10,3.95,1.48,2.40,4.45,9.00,2.05,1.65,N/A
1754674200,Aug 08 2025 - 5:30pm,canceled,N/A,Bourg-en-Bresse,Ajaccio,N/A,1,0.00,0.00,1.19,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Marcel-Verchère
1755279000,Aug 15 2025 - 5:30pm,complete,2838,Quevilly Rouen,Caen,N/A,2,0.00,0.00,0.93,1.07,1,1,2,1,0,1,"90'1","33",0,3,2,0,2,0,0,2,0,2,6,6,2,3,4,3,16,12,44,56,0.00,0.00,0.84,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.00,2.21,1.30,1.91,3.30,6.00,1.77,1.85,Stade Robert Diochon
1755279000,Aug 15 2025 - 5:30pm,complete,5367,Dijon,Rouen,N/A,2,0.00,0.00,1.93,1.53,1,1,2,2,1,1,"2","21",3,4,3,0,2,0,1,2,2,0,9,6,4,2,5,4,14,10,59,41,0.00,0.00,1.28,0.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.25,3.67,1.36,2.18,3.70,7.80,1.95,1.80,Stade Gaston-Gérard
1755279000,Aug 15 2025 - 5:30pm,complete,5923,Valenciennes,Le Puy F.43 Auvergne,N/A,2,0.00,0.00,1.47,1.60,2,1,3,0,0,0,"70,75","73",3,5,2,0,1,0,1,1,1,0,16,12,4,5,12,7,14,6,52,48,0.00,0.00,1.67,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.20,3.25,1.40,2.20,3.82,7.40,1.93,1.82,Stade du Hainaut
1755279000,Aug 15 2025 - 5:30pm,complete,448,Aubagne,Villefranche,N/A,2,0.00,0.00,0.87,0.67,3,1,4,0,0,0,"71,76,90'3","86",3,1,4,1,2,1,2,3,1,2,11,7,5,5,6,2,17,15,51,49,0.00,0.00,1.45,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,2.90,2.50,1.41,2.17,3.96,8.00,1.83,1.83,N/A
1755279000,Aug 15 2025 - 5:30pm,complete,561,Fleury 91,Stade Briochin,N/A,2,0.00,0.00,1.87,0.87,4,1,5,3,3,0,"41,29,2,70","89",10,3,0,0,2,0,0,0,1,1,14,11,9,2,5,9,18,14,56,44,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.00,3.25,1.33,2.13,3.42,6.60,1.80,1.90,Stade Auguste Gentelet
1755279000,Aug 15 2025 - 5:30pm,complete,10899,Sochaux,Orléans,N/A,2,0.00,0.00,2.13,1.67,5,0,5,4,4,0,"28,45'3,12,40,88","",5,3,4,0,5,0,3,1,4,1,15,8,6,3,9,5,13,19,45,55,0.00,0.00,1.64,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.00,3.00,1.36,2.18,3.98,8.00,1.91,1.70,Stade Auguste-Bonal
1755279000,Aug 15 2025 - 5:30pm,complete,237,Châteauroux,Bourg-en-Bresse,N/A,2,1.00,0.00,0.81,0.75,2,2,4,1,1,0,"9,51","79,85",1,4,3,0,3,0,1,2,2,1,7,14,3,6,4,8,16,14,55,45,1.41,0.00,1.13,1.70,0.00,0,0,0,0,0,0,0,0,0,4.00,1.00,2.60,2.91,2.70,1.44,2.45,4.70,9.00,2.00,1.75,Stade Gaston Petit
1755279000,Aug 15 2025 - 5:30pm,complete,633,Versailles,Paris 13 Atletico,N/A,2,0.00,0.00,1.80,0.73,2,1,3,1,1,0,"40,90","49",6,4,2,0,3,0,1,1,1,2,8,2,4,1,4,1,22,10,46,54,0.00,0.00,1.22,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.34,2.80,2.87,1.51,2.46,4.70,10.00,2.00,1.73,Stade de Montbauron
1755279000,Aug 15 2025 - 5:30pm,canceled,N/A,Concarneau,Ajaccio,N/A,2,0.00,0.00,1.20,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.10,4.00,1.29,1.95,3.34,6.00,1.76,1.84,Stade Guy Piriou
