timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1753458300,Jul 25 2025 - 3:45pm,complete,N/A,Świt Skolwin,Kalisz,N/A,1,0.00,0.00,1.60,1.06,0,3,3,0,0,0,"","52,64,80",10,12,2,0,1,0,1,1,0,1,14,18,2,7,12,11,10,17,53,47,0.00,0.00,1.52,1.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.18,3.25,2.95,1.25,1.80,2.90,5.75,1.62,2.15,N/A
1753459200,Jul 25 2025 - 4:00pm,complete,N/A,Podbeskidzie,Sandecja Nowy Sącz,N/A,1,0.00,0.00,1.87,1.69,1,3,4,1,0,1,"82","15,74,58",7,3,3,0,4,0,3,0,1,3,25,14,5,7,20,7,16,18,56,44,0.00,0.00,2.80,1.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.87,3.41,3.85,1.27,1.92,3.30,5.80,1.73,1.99,N/A
1753466400,Jul 25 2025 - 6:00pm,complete,N/A,Olimpia Grudziądz,Stal Stalowa Wola,N/A,1,0.00,0.00,2.19,1.07,1,1,2,0,0,0,"90'5","70",11,3,1,0,5,0,0,1,1,4,10,10,4,3,6,7,21,21,67,33,0.00,0.00,1.39,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.50,2.00,1.20,1.58,2.88,5.50,1.63,2.12,Stadion Miejski im. Bronisława Malinowskiego
1753527600,Jul 26 2025 - 11:00am,complete,N/A,NKP Podhale,Jastrzębie,N/A,1,0.00,0.00,2.13,0.25,3,0,3,1,1,0,"27,47,90","",12,6,1,0,4,0,0,1,2,2,14,8,3,1,11,7,21,12,45,55,0.00,0.00,1.67,1.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.48,3.90,6.00,1.24,1.90,2.65,6.35,1.73,2.00,Stadion Miejski im. Józefa Piłsudskiego
1753538400,Jul 26 2025 - 2:00pm,complete,N/A,Śląsk Wrocław II,Rekord Bielsko-Biała W,N/A,1,0.00,0.00,1.19,1.31,1,2,3,0,0,0,"90'1","51,84",9,2,2,1,1,0,2,1,1,0,18,11,3,6,15,5,9,11,58,42,0.00,0.00,1.60,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.25,2.30,1.22,1.72,2.60,4.75,1.60,2.29,Stadion OSRiR
1753542000,Jul 26 2025 - 3:00pm,complete,N/A,Hutnik Kraków,ŁKS Łódź II,N/A,1,0.00,0.00,1.73,0.63,4,1,5,3,3,0,"14,11,42,79","62",8,5,-1,-1,-1,-1,-1,-1,-1,-1,10,11,4,5,6,6,-1,-1,48,52,0.00,0.00,1.41,1.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.68,3.81,4.25,1.20,1.57,2.60,4.23,1.63,2.10,N/A
1753619400,Jul 27 2025 - 12:30pm,complete,N/A,Sokół Kleczew,Zagłębie Sosnowiec,N/A,1,0.00,0.00,1.25,1.07,1,2,3,2,1,1,"19","42,84",7,8,3,0,3,0,0,3,1,2,12,25,4,11,8,14,18,16,44,56,0.00,0.00,1.32,2.89,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.55,3.50,1.82,1.22,1.75,2.90,5.00,1.67,2.10,N/A
1753628400,Jul 27 2025 - 3:00pm,complete,307,Resovia Rzeszów,Chojniczanka Chojnice,N/A,1,0.00,0.00,1.47,1.50,1,1,2,1,1,0,"10","83",9,7,1,0,2,1,0,1,0,3,13,25,6,7,7,18,17,12,42,58,0.00,0.00,1.60,2.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.30,2.43,1.30,2.00,3.45,6.00,1.75,1.92,Stadion Resovia
1753637400,Jul 27 2025 - 5:30pm,complete,N/A,Unia Skierniewice,Warta Poznań,N/A,1,0.00,0.00,2.06,1.80,2,1,3,1,0,1,"60,77","20",4,10,2,0,2,0,0,2,0,2,15,10,8,5,7,5,13,10,53,47,0.00,0.00,1.94,1.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.09,3.30,3.35,1.19,1.68,3.20,5.80,1.78,1.98,N/A
1754062200,Aug 01 2025 - 3:30pm,complete,N/A,Rekord Bielsko-Biała W,NKP Podhale,N/A,2,0.00,0.00,1.38,1.20,1,1,2,1,0,1,"59","28",2,8,2,0,0,0,1,1,0,0,14,15,3,5,11,10,13,20,58,42,0.00,0.00,1.41,1.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.41,3.30,2.59,1.25,1.75,3.00,5.20,1.60,2.15,N/A
