timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1771011900,Feb 13 2026 - 7:45pm,complete,N/A,UCD,Kerry,N/A,1,0.00,0.00,2.29,0.38,2,1,3,1,0,1,"59,65","44",6,4,2,1,2,0,0,3,1,1,13,9,5,1,8,8,8,15,68,32,0.00,0.00,1.54,0.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.10,3.25,1.29,1.95,3.35,6.25,1.75,1.95,N/A
1771011900,Feb 13 2026 - 7:45pm,complete,N/A,Athlone Town,Finn Harps,N/A,1,0.00,0.00,1.88,0.71,2,1,3,3,2,1,"12,32","5",9,1,0,0,0,0,0,0,0,0,18,7,4,2,14,5,15,14,50,50,0.00,0.00,2.09,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,3.20,2.55,1.23,1.85,3.25,6.25,1.66,2.13,Athlone Town Stadium
1771011900,Feb 13 2026 - 7:45pm,complete,N/A,Cork City,Treaty United,N/A,1,0.00,0.00,2.63,0.50,1,0,1,0,0,0,"90'1","",6,4,0,0,1,0,0,0,1,0,16,12,5,1,11,11,11,13,59,41,0.00,0.00,2.35,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.40,6.20,1.18,1.71,2.88,5.38,1.95,1.85,Turner's Cross
1771011900,Feb 13 2026 - 7:45pm,complete,N/A,Bray Wanderers,Longford Town,N/A,1,0.00,0.00,2.00,0.88,1,1,2,1,1,0,"12","47",3,5,1,0,4,0,0,1,1,3,9,7,5,2,4,5,14,11,57,43,0.00,0.00,1.27,0.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.68,3.90,4.60,1.24,1.72,2.86,5.00,1.67,2.05,N/A
1771011900,Feb 13 2026 - 7:45pm,complete,N/A,Cobh Ramblers,Wexford,N/A,1,0.00,0.00,1.00,0.86,0,3,3,2,0,2,"","13,45'2,48",4,3,1,0,1,0,0,1,1,0,6,19,2,8,4,11,13,12,53,47,0.00,0.00,0.98,2.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.66,4.02,4.56,1.21,1.64,2.52,4.98,1.62,2.15,St. Coleman's Park
1771616700,Feb 20 2026 - 7:45pm,complete,N/A,Treaty United,Bray Wanderers,N/A,2,0.00,0.00,1.33,0.57,0,1,1,0,0,0,"","63",6,1,1,0,3,0,0,1,1,2,7,6,2,1,5,5,15,19,46,54,0.00,0.00,1.09,0.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.96,3.25,2.05,1.24,1.97,3.14,5.75,1.73,2.10,Markets Field
1771616700,Feb 20 2026 - 7:45pm,complete,N/A,Finn Harps,UCD,N/A,2,0.00,0.00,1.50,1.38,2,1,3,1,1,0,"10,64","81",2,4,5,0,3,0,1,4,1,2,14,7,6,3,8,4,18,10,43,57,0.00,0.00,1.61,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.97,3.63,2.26,1.24,1.95,3.30,6.30,1.70,2.04,Finn Park
1771616700,Feb 20 2026 - 7:45pm,complete,N/A,Wexford,Cork City,N/A,2,0.00,0.00,2.00,1.50,1,4,5,2,0,2,"70","9,16,52,66",4,2,0,0,0,0,0,0,0,0,11,12,4,4,7,8,10,12,44,56,0.00,0.00,1.36,1.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.65,3.50,1.75,1.29,1.79,3.00,5.50,1.77,1.92,Ferrycarrig Park
1771616700,Feb 20 2026 - 7:45pm,complete,N/A,Kerry,Athlone Town,N/A,2,0.00,0.00,1.29,1.00,0,1,1,0,0,0,"","87",4,4,3,0,4,0,3,0,1,3,13,5,1,4,12,1,14,15,63,37,0.00,0.00,1.25,0.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.86,3.40,3.47,1.25,1.78,2.97,6.22,1.65,2.05,N/A
1771702200,Feb 21 2026 - 7:30pm,complete,N/A,Longford Town,Cobh Ramblers,N/A,2,0.00,0.00,1.57,1.50,1,2,3,2,0,2,"67","38,16",8,4,3,0,4,0,1,2,1,3,13,11,5,5,8,6,12,10,54,46,0.00,0.00,1.74,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,3.40,1.85,1.22,1.76,2.75,5.00,1.62,2.15,N/A
